Time,Intel1T,Intel1H
00:00:00,19.907857142857143,81.78250000000001
00:30:00,19.923103448275853,82.55172413793103
01:00:00,19.889999999999997,82.55866666666667
01:30:00,19.748620689655176,82.70413793103448
02:00:00,19.699000000000005,83.38366666666667
02:30:00,19.649333333333335,83.40166666666663
03:00:00,19.409666666666666,83.06433333333332
03:30:00,19.13896551724138,82.84379310344826
04:00:00,19.136896551724135,83.20689655172414
04:30:00,19.189000000000004,83.298
05:00:00,19.197000000000003,83.31800000000001
05:30:00,19.163793103448278,83.28793103448275
06:00:00,19.09448275862069,83.47103448275861
06:30:00,19.09172413793104,83.8648275862069
07:00:00,19.11833333333333,85.00866666666664
07:30:00,19.238148148148152,85.14592592592595
08:00:00,19.368,85.72599999999997
08:30:00,19.723666666666666,86.43533333333333
09:00:00,20.29366666666667,85.60433333333332
09:30:00,20.968666666666667,83.00466666666665
10:00:00,21.868666666666666,81.24399999999999
10:30:00,22.007,80.80066666666669
11:00:00,22.079333333333334,80.49466666666667
11:30:00,22.449666666666662,80.04800000000002
12:00:00,22.621333333333336,78.64233333333331
12:30:00,22.81655172413793,77.09379310344826
13:00:00,22.65633333333334,76.873
13:30:00,22.710333333333335,76.55333333333333
14:00:00,22.901785714285715,75.80464285714287
14:30:00,22.84,75.04079999999999
15:00:00,22.67068965517241,74.3296551724138
15:30:00,22.177586206896542,75.01586206896553
16:00:00,21.789333333333335,75.39100000000002
16:30:00,21.644333333333332,75.82500000000002
17:00:00,21.482666666666663,75.62099999999997
17:30:00,21.21699999999999,77.32733333333336
18:00:00,20.836551724137934,78.82551724137932
18:30:00,20.64064516129033,79.92774193548388
19:00:00,20.412068965517243,80.33724137931036
19:30:00,20.255333333333336,80.69566666666667
20:00:00,20.086666666666666,81.10200000000002
20:30:00,19.889,81.60033333333334
21:00:00,19.88225806451613,82.23354838709676
21:30:00,19.811724137931034,82.46517241379311
22:00:00,19.682857142857138,82.88714285714286
