Time,2020-08-05 ,2020-08-06 ,2020-08-07 ,2020-08-08 ,2020-08-09 ,2020-08-10 ,2020-08-11 ,2020-08-12 ,2020-08-13 ,2020-08-14 ,2020-08-15 ,2020-08-16 ,2020-08-17 ,2020-08-18 ,2020-08-19 ,2020-08-20 ,2020-08-21 ,2020-08-22 
00:00:00,0.3261925925925939,1.6656765432098777,1.1694026666666668,0.16614722222222214,0.3919239999999989,0.4909405555555562,0.2291848888888881,0.8305716666666657,0.0003222222222221855,0.5287995555555539,8.077935669463161e-28,1.8175355256292112e-27,0.4377648888888879,0.2572480109739365,,,,
00:30:00,0.23826364883401865,0.3842208504801113,0.8816725326991681,0.3111795555555553,0.1958532699167652,0.6287410000000013,0.2393862222222229,1.090952888888889,1.8175355256292112e-27,0.9719260404280612,8.077935669463161e-28,1.8175355256292112e-27,0.126667222222222,1.891076575505351,,,,
01:00:00,0.4538098765432093,0.3289860969387749,0.58010622222222,0.4835048888888879,0.5721705112960747,0.5838693333333327,0.3098328888888885,0.7994138888888884,1.8175355256292112e-27,0.5959448888888882,1.8175355256292112e-27,1.8175355256292112e-27,0.2969765555555535,0.6184095124851378,,,,
01:30:00,0.22167222222222246,0.2295096408317588,0.7323872222222202,0.5022356666666686,1.6469010000000006,0.40782933333333454,0.11149822222222212,1.0292222222222218,1.8175355256292112e-27,0.2429959183673461,1.8175355256292112e-27,1.8175355256292112e-27,0.4929773333333319,1.0378232222222197,,,,
02:00:00,0.3353302399999997,0.2303688466111768,0.6995426666666664,0.8119029726516054,1.181611177170033,0.2844848888888895,0.2029632222222216,1.0526448888888875,1.8175355256292112e-27,0.7230476586888656,1.8175355256292112e-27,1.8175355256292112e-27,0.3685778888888879,0.4887636147443518,,,,
02:30:00,0.8542677295918405,0.4095153388822826,0.3185904875148626,0.3593422222222221,0.7725982222222216,0.3916266666666669,0.2348666666666687,0.4656609999999997,1.8175355256292112e-27,0.5948780612244885,1.8175355256292112e-27,1.8175355256292112e-27,0.5002573333333317,0.27712666666666497,,,,
03:00:00,0.3661455410225928,0.6381688888888901,0.6040778888888897,0.4449778888888876,0.4582544589774078,0.7615248888888904,0.40488766666666665,0.3589632222222233,1.8175355256292112e-27,0.5778809999999995,1.8175355256292112e-27,1.8175355256292112e-27,0.4656262222222219,0.21957999999999914,,,,
03:30:00,0.4310820153061223,0.5230959999999992,0.7353782222222224,0.5515783333333328,0.6512245555555579,0.6243738888888885,0.6468272222222236,1.0906605555555555,1.8175355256292112e-27,0.4555303210463721,1.8175355256292112e-27,1.8175355256292112e-27,0.6737382222222223,0.3189992865636161,,,,
04:00:00,0.5903384066587388,0.4720233055885847,0.5902272222222215,2.4149595555555528,0.7692026666666674,0.3977009999999997,0.5436973333333349,1.331770666666668,1.8175355256292112e-27,1.8147098888888908,1.8175355256292112e-27,1.8175355256292112e-27,0.8763240000000007,0.16343955555555514,,,,
04:30:00,0.7782343333333357,0.4588005555555563,1.1036466666666689,0.7806715814506546,0.6291971462544588,0.2533405555555558,0.4268487514863266,3.3683128888888905,1.8175355256292112e-27,0.9759826666666652,1.8175355256292112e-27,1.8175355256292112e-27,0.6817209999999982,0.2229493333333336,,,,
05:00:00,0.5187280612244904,0.15259822222222202,0.6906856123662284,0.7383582222222208,1.0053906666666677,0.17161333333333334,0.20690622222222266,2.2393156666666654,1.8175355256292112e-27,0.2570045555555566,1.8175355256292112e-27,1.8175355256292112e-27,0.2909115555555549,0.21276233333333608,,,,
05:30:00,0.3036789540816319,0.4233334126040419,0.8524032222222186,1.0112076666666654,0.8324072222222226,0.20753999999999986,0.2816715555555556,0.8274373333333312,1.8175355256292112e-27,0.19078335315101194,8.077935669463161e-28,1.8175355256292112e-27,0.2994943333333343,0.5166118906064225,,,,
06:00:00,0.6757906666666678,0.4067473214285709,1.3776222222222219,0.6444822829964328,0.4268805555555565,0.6705488703923891,1.1559410000000006,0.8381248888888904,1.8175355256292112e-27,0.9394275862068964,1.8175355256292112e-27,1.8175355256292112e-27,0.4661715555555549,1.5089632222222205,,,,
06:30:00,0.2964954081632661,0.5251343333333336,1.0059965555555563,0.7047926278240179,0.5504832222222211,7.137591222222216,0.7020290000000006,1.0373778888888887,0.00871822222222208,1.7462315555555528,8.077935669463161e-28,0.01277288888888858,4.766388888888889,0.4698882414151922,,,,
07:00:00,1.1742137755102031,2.140111555555555,3.3646920332937005,2.268520999999998,9.884006222222224,2.35296933333333,4.071244555555556,17.997749333333335,12.450809333333336,1.8113659928656345,0.08262455555555387,0.5609090000000004,11.063843222222221,3.0326832342449452,,,,
07:30:00,1.3524397805212578,10.424323662306778,5.449743222222222,9.330483222222217,14.070729131985724,8.319314333333331,7.425458222222217,7.138487666666663,16.69981433333333,27.078169084423305,7.5401715555555535,8.64165955555556,42.71561122222222,16.874380000000006,,,,
08:00:00,5.2750165555555535,1.843613793103446,3.26919155555556,5.68050233333333,3.5223288888888917,9.88207155555556,2.189039555555559,1.7922832222222198,2.257302666666667,5.155109888888889,15.535754333333333,43.74731955555556,10.624943999999998,12.457132888888884,,,,
08:30:00,204.041381122449,109.25166222222224,149.5412042806183,43.81428622222222,63.78544399524376,0.6367250000000007,0.9069832222222228,42.86104622222222,16.81313174791915,59.142457788347215,6.088852888888887,5.323377333333338,14.281874333333342,96.94059571938169,,,,
09:00:00,2.0847907253269926,3.532984555555557,4.715624888888889,1.1463291319857314,3.211394822485206,11.969631222222226,7.57861833333333,1.1596640000000007,35.193348387096755,2.53797388888889,2.5378846938775523,8.31724455555556,4.594831222222218,4.898948888888888,,,,
